text,label,label_text
wales want rugby league training wales could follow england s lead by training with a rugby league club.  england have already had a three-day session with leeds rhinos  and wales are thought to be interested in a similar clinic with rivals st helens. saints coach ian millward has given his approval  but if it does happen it is unlikely to be this season. saints have a week s training in portugal next week  while wales will play england in the opening six nations match on 5 february.  we have had an approach from wales   confirmed a saints spokesman.  it s in the very early stages but it is something we are giving serious consideration to.  st helens  who are proud of their welsh connections  are obvious partners for the welsh rugby union  despite a spat in 2001 over the collapse of kieron cunningham s proposed £500 000 move to union side swansea. a similar cross-code deal that took iestyn harris from leeds to cardiff in 2001 did go through  before the talented stand-off returned to the 13-man code with bradford bulls. kel coslett  who famously moved from wales to league in the 1960s  is currently saints  football manager  while clive griffiths - wales  defensive coach - is a former st helens player and is thought to be the man behind the latest initiative. scott gibbs  the former wales and lions centre  played for st helens from 1994-96 and was in the challenge cup-winning team at wembley in 1996.,2,sport
china aviation seeks rescue deal scandal-hit jet fuel supplier china aviation oil has offered to repay its creditors $220m (£117m) of the $550m it lost on trading in oil futures.  the firm said it hoped to pay $100m now and another $120m over eight years. with assets of $200m and liabilities totalling $648m  it needs creditors  backing for the offer to avoid going into bankruptcy. the trading scandal is the biggest to hit singapore since the $1.2bn collapse of barings bank in 1995. chen jiulin  chief executive of china aviation oil (cao)  was arrested by at changi airport by singapore police on 8 december. he was returning from china  where he had headed when cao announced its trading debacle in late-november. the firm had been betting heavily on a fall in the price of oil during october  but prices rose sharply instead.  among the creditors whose backing cao needs for its restructuring plan are banking giants such as barclay s capital and sumitomo mitsui  as well as south korean firm sk energy. of the immediate payment  the firm - china s biggest jet fuel supplier - said it would be paying $30m out of its own resources. the rest would come from its parent company  china aviation oil holding company in beijing. the holding company  owned by the chinese government  holds most of cao s singapore-listed shares. it cut its holding from 75% to 60% on 20 october.,1,business
rock band u2 break ticket record u2 have smashed irish box office records with ticket sales for their dublin concerts  after more than 150 000 were sold within 50 minutes.  tickets for the two concerts at the city s croke park stadium were released at 8am on friday morning.  nothing like it has ever been seen in ireland before   said justin green  spokesman for organisers mcd promoters.  we could have sold a million tickets.  the dublin dates on june 24 and 25 form part of the worldwide vertigo tour. the tour begins in san diego on 28 march and will cover 13 us cities. the band will also play 24 european gigs  finishing in lisbon in august.  mr green said that ticket outlets had been  bombarded  by u2 fans.  unfortunately there s thousands and thousands of disappointed fans all over the country which is disappointing  but there s only two dates confirmed   he said. many fans camped on the streets of the irish capital for three days to ensure they were first in line at ticketmaster in st stephen s green shopping centre  where the tickets went on sale on friday. however the majority of tickets  priced at between 59.50 and 80 euro each  were sold online. earlier this week  bono announced that the band would play two shows at the venue  which holds almost 80 000 people  due to the phenomenal demand for tickets.,3,entertainment
markets signal brazilian recovery the brazilian stock market has risen to a record high as investors display growing confidence in the durability of the country s economic recovery.  the main bovespa index on the sao paolo stock exchange closed at 24 997 points on friday  topping the previous record market close reached the previous day. the market s buoyancy reflects optimism about the brazilian economy  which could grow by as much as 4.5% in 2004. brazil is recovering from last year s recession - its worst in a decade.  economic output declined 0.2% in 2003 and president luiz inacio lula da silva - elected as brazil s first working-class president in 2002 - was strongly criticised for pursuing a hardline economic policy.  investors have praised his handling of the economy as foreign investment has risen  unemployment has fallen and inflation has been brought under control. analysts believe the stock market will rise above the 25 000 mark for the first time before too long.  there should be more space for gains until the end of the year  somewhere up to 27 000 points   said paschoal tadeu buonomo  head of equities trading at brokers tov. brazil s currency  the real  also rose to its highest level against the dollar in more than two years on friday. although interest rates still stand at a punitive 17.25%  inflation has fallen from 9% to 7% while exports are booming  particularly of agricultural products.  for the first time in decades  we have all three economic policy pillars in line during a recovery   finance minister antonio palocci told the associated press news agency.  government accounts are in surplus  we have a current account surplus and inflation is under control.   investors were deeply suspicious of president da silva  a former trade union leader who campaigned on a programme of extensive land redistribution and a large rise in the minimum wage. however  mr da silva has stuck to an orthodox monetary policy inherited from his predecessor even in the face of last year s economic crisis. this has earned him the disapproval of rural farm workers  thousands of whom who took to the streets of brasilia on thursday to protest against government policies. president da silva has defended his policies  arguing that brazil cannot afford to continue the cycle of boom and bust which afflicted it in recent decades.,1,business
tough rules for ringtone sellers firms that flout rules on how ringtones and other mobile extras are sold could be cut off from all uk phone networks.  the rules allow offenders to be cut off if they do not let consumers know exactly what they get for their money and how to turn off the services. the first month under the new rules has seen at least ten firms suspended while they clean up the way they work. the rules have been brought in to ensure that the problems plaguing net users do not spread to mobile phones.  in the last couple of years ringtones  wallpapers  screensavers and lots of other extras for phones have become hugely popular. but fierce competition is making it difficult for firms to get their wares in front of consumers  said jeremy flynn  head of third party services at vodafone.   if you are not on the operator s portal you are going to have quite heavy marketing costs because it s a problem of how people discover your services   he said. to combat this many ringtone and other mobile content sellers started using a new tactic to squeeze more cash out of customers. this tactic involved signing people up for a subscription to give them  for instance  several ringtones per week or month instead of the single track they thought they were getting. mr flynn said that the move to using subscriptions happened over the space of a few weeks at the end of 2004. websites such as grumbletext.co.uk started getting reports from customers who were racking up large bills for phone content they did not know they had signed up for.  what made us uncomfortable was that these services were not being marketed transparently   said mr flynn.  people did not know they were being offered a subscription service.   we saw potential for substantial consumer harm here   he added.  the swift adoption of subscription services led to the creation of a new code of conduct for firms that want to sell content for mobile phones. the drafting of the new rules was led by the mobile entertainment forum and the uk s phone firms.  everyone is required to conform to this code of conduct   said andrew bud  regulatory head of the mef and executive chairman of messaging firm mblox.   it s all about transparency   he said.  consumers have to be told what they have got themselves into and how to get out of it.   the consumer has a right to be protected   he said. christian harris  partnership manager of mobile content firm zed  said the new system was essential if consumers were to trust companies that sell ringtones and other downloads.  the groundrules must be applied across the whole industry and if that s done effectively we will see the cowboys driven out   he said. the new rules came in to force on 15 january and the first month under the new regime has seen many firms cautioned for not honouring them. some have been told to revamp websites so customers know what they get for their money and what they are signing up for  said mr flynn. also  said mr flynn  vodafone has briefly cut off between eight and ten content sellers flouting the rules.  we have quite draconian contracts with firms   he said.  we do not have to say why. we can just cut them off.  under the rules consumers must be able to switch off the services by using a universal  stop  command sent via text message. he said the system had been designed to limit how much a consumer will pay if they inadvertently signed up for a service.  the mobile is so personal that people really resent the abuse of what is effectively part of their personality   said mr flynn.,0,tech
iraq advice claim sparks new row the tories say ministers must respond in parliament to claims that the legal advice used to justify the iraq war was drawn up at number 10.  downing street has denied the claims  made in a new book about the attorney general lord goldsmith s advice. lord goldsmith also denied them  saying he was not  leaned on  in any way. but the conservatives and liberal democrats say they want the publication of the full legal advice given by the attorney general.  the government has consistently refused to publish lord goldsmith s advice on the legality of the war - saying such papers have always been kept confidential.  but a short statement about lord goldsmith s position was presented in a written parliamentary answer on 17 march 2003 - just before a crucial commons vote on the military action. it said it was  plain  iraq continued to be in material breach of un resolution 1441. in his new book  lawless world  philippe sands  a qc and international law professor  suggests the parliamentary answer was written in downing street. according to mr sands  lord goldsmith had warned tony blair in a document on 7 march 2003 that the use of force against iraq could be illegal and that it would have been safer to seek a second un resolution sanctioning military action.  mr sands told newsnight the government had prepared a legal team to be able to defend its case  in case legal action was taken against the uk over the war. on 10 march  military chiefs reportedly asked for an unequivocal statement about the legality of the war to make sure troops could be defended in a court of law. the book  being serialised in the guardian newspaper  says on 13 march lord goldsmith met then home office minister lord falconer and downing street adviser baroness morgan.  after that downing street proceeded to set out his [lord goldsmith s] view in a parliamentary answer which was then published on 17 march   said mr sands.  tory leader michael howard reiterated calls for the publication of the full legal advice given by the attorney general  warning:  this issue will not go away.   these revelations throw an intensive spotlight on to the cavalier way in which this government operates - even on an issue as important as peace and war.  the government needs to act to restore public confidence and trust.  liberal democrat foreign affairs spokesman menzies campbell repeated his party s calls for lord goldsmith s first piece of legal advice to be made public.  the public interest  which the government claims justifies non-publication of the whole of the advice  can only be served now by the fullest disclosure.   in a statement to newsnight  lord goldsmith said:  in my parliamentary answer on march 17 2003  i explained my genuinely held independent view  that military action was lawful under the existing security council resolutions.  it was certainly not a view that i expressed as a result of being leaned on in any way  nor as i have already made clear  was it written by or at number 10.  the prime minister s official spokesman also rejected the claims  saying:  the attorney general made it clear the words and the judgement were his.  but ex-foreign secretary robin cook says all the advice should now be published. he said the claims suggested parliament had only received a pr&#233;cis of lord goldsmith s second opinion - and that it was actually drafted in no 10. this would be wrong even if lord goldsmith had signed the statement  mr cook said  because the attorney general s advice should be an  independent legal opinion   not subject to  political negotiation of this kind .,4,politics
brits debate over  urban  music joss stone  a 17-year-old soul singer from devon  beat dizzee rascal  jamelia  lemar and the streets to win best british urban act at the brit awards. her victory has reignited the debate about what urban music is.      i m not really comfortable with the word urban. it s a word that s been manufactured in this country and america to describe black music. the word urban seems to cover such a broad range of black music that it s wrong. how far are the brits removed from inner-city music and what people are doing  it s so far removed that i don t expect them to get it bang on. the music industry isn t championing music from our particular genre very well anyway. people don t feel like that s anything to do with us. i don t feel like urban music s just been celebrated by [joss stone] winning or her being nominated  or by the brits acknowledging that there s an urban music scene because it s all a kick in the teeth at the end of the day. it s not really relevant. if joss stone is the closest thing that they feel comfortable championing because of what she looks like and how she sounds and who she s signed to  then so be it. it s got nothing to do with what s really going on.    urban as a genre is very broad. if you look underneath urban  there are a number of core elements that include hip-hop  r&b  garage and into that obviously comes soul. joss stone is a soul artist. her first album was called the soul sessions. so urban is a very broad brushstroke that is the umbrella over the top of sub-genres  and there are offshoots of all of those. joss stone has had amazing success [in the us] given that she s a uk artist. what has really captured everybody s imagination is that here you have a 17-year-old from devon with a voice to die for and a bunch of really  really good tunes and she looks good - i think that s what s done it.  the award for best british urban act was voted for by viewers of mtv base.    i don t think joss was not a worthy winner. she makes soul music and that definitely comes under the category of what we describe as urban. the fact that she s from devon is the interesting thing because most of the music we cover is made in large cities and she s literally rural. the great thing about urban music is that there s a big range. if there is some sort of root with black music or dance music in britain  i think that s where you can call it urban - that s where this new sub-category  or uber-category  has come from. joss stone is certainly not old enough to have had some of the experiences of an older soul singer  but you couldn t argue that she was being inauthentic with her emotions - it is coming from somewhere genuine. it has to come across as real. that s the only cut-off point we have here and that s the only way by which we judge people.    what urban means to us as an organisation is the politically correct term to describe music which originated from a black background. music should become inclusive and if we are fighting for a multi-cultural britain  then we should be fighting for inclusion rather than exclusion. if joss stone can be accepted within the urban music community  i think acts from other ethnicities doing classical music and rock should be accepted too. race doesn t make a difference if everyone is included. out of all the awards dished out yesterday  i m still trying to find out what people of other races received any sort of recognition or award.    a type of music (especially street music) that originates from a city  and typically reflects or is characteristic of urban life.  she might not be urban  but when did r&b become the hip hop tainted thing it is now  r&b stands for rhythm and blues  remember!  that joss stone is rubbish is certain. if anyone deserves to win an award for urban music (i think probably should include hip-hop  soul & funk at least but not rock or pop) this year its the streets  although dizzee rascal stakes a good claim  she definitely deserved to win a prize  joss stone s albums are quite simply amazing  easily better than anything else that was released last year. this whole debate about what is urban  what isnt urban is completely pointless and probably fueled by urban artists who weren t nominated or didn t win. i cant see why people can t just congratulate her for the talent that she is.  she did deserve it  but i agree with the comments about urban music. its a stupid phrase  and particularly british. in the states they tend to use hip hop and r&b  if i say hip hop here a lot of people have no idea what i m talking about. very strange.  what s in a name  a rose by any other name etc... if people want to call it urban  why not  if we really analysed it  the term  dance music  is misleading because it doesn t describe everything you can dance to.  whilst i agree that the term  urban  is open to interpretation  it strikes me as simply weird that joss stone has won.  urban  to me is what i hear being played in parties in the inner cities - i live in brixton and have never heard the soul sessions pumping out of of a bass heavy sound system in any parties i ve been to. good luck to joss stone  let s celebrate her victory - let s also question why  with artists so successful and talented as jamelia  lemar  kanye west  dizzee rascal  alicia keys and outkast - we didn t see a single black artist on stage collecting an award.  so  what you re saying is that any music that has black heritage is not allowed to be sung by anyone who isn t black. and  if it is  then they shouldn t be acknowledged for it even if they re pretty dam good at it  she s 17  has an amazing voice  and won. good on her. oh  but she s not  black  well  let s make her feel real bad about it then. how dare she! though hang on  didn t the so-called  public  vote on this one   this idea of pigeonholing whatever is popular at the time is no different than what was happening in the 1940s and 50s in relation to what  jazz  was. the media then called anything that had a swinging beat  syncopated melody or soulful feeling  jazz   much to the chagrin of the artists. it would mean that  blues  would be put in the same mould as  bebop    cool  and  ragtime   all very different styles at that time. jazz was and remains such a massively misunderstood term. and so what of  urban  music  in truth it s a lazy term to categorise music that you don t really understand. soul and garage are worlds apart musically (marvin gaye v tuff jam )  but no doubt have their connections. if we just let the music speak for itself and not judge the success of an artist by the number of awards won  then maybe we can enjoy the music for what it is  rather than what it represents.  i demand a prize for rural music! sucks to the cities- it s way better out here. we have hay  for one thing.  excluding her from what has become known as urban music would be as bad as excluding lenny kravitz or hendrix from rock music for being black surely  i dont understand the point that ty is making. if lemar  who makes music which is less soulful than joss  work won  he might have said nothing. (btw i m black too)  how can she be  urban  if she spent most of her life in the devon countryside  nonsense.  i love joss to bits and don t care what her branding is - it s amazing music  full stop. stop puting it all in brackets and let s just call it music  and let s especially drop the black / urban tag - nearly all music came from black origin  this just sets an example that it is ok to pigeonhole people and their music by their colour.  surely the point of having an urban music category is simply to acknowledge artists that are making what is (historically) considered urban music  irrelevent of the colour of their skin  or where they originate from. joss stone is simply singing a certain type of music that can be considered urban in style  just as someone from an inner city  and indeed not from the usa could sing country music. if that person was good at it and authentic in sound  would we criticise it being referred to as country music or the artist for representing that style   the term urban in reference to a music genre in uk has developed  in part  from the controversy surrounding the branding of the mobo awards. the very term  music of black origin  has confused and offended many people. this is particularly strange given the existence of the asian music awards. it appears that the use of  black  or  white  in relation to music makes people feel uncomfortable. the term  urban  therefore  has been invoked to sidestep the debate of which type of music came first  black  or  white  thereby rendering the issue colourblind. the result is now a redundant new debate as to what  urban  also means. perhaps we should have created a new term altogether to describe the various strains of soul/rnb and hip-hop  one which does not also mean something else - as we have done with  crunk .  urban is just a word that s come about recently to describe  black  music that s become popular now. the word wasn t even in use  or common use five of six years ago. it s just a way of the industry clumping it all together without having to call it black music  because some people are oversensitive and might call them racist for it.  i m in a band that has been called  urban   and i despise the label. i d hate to think i belonged to any neat marketing niche  because that s all it is. ever since the music channels and record comapnies tried to fracture what they consider  music of black origin   these labels have been used to undermine the status of good music into a commodity. look at all the tv broadcasters  unable to reach young people without condesending  they simply play some  urban  music on the soundtrack as if its some dreadful cheap lift music. ignore the labels  it is what it is  just music.  as a black man  i think i agree with some of the statements at least the statements made by the key executives. black people should lead the music they invented . we should stop calling a genre meaningless  northing is meaningless. the real question is would joss stone would have been that successful doing the music she was doing if she were black  same thing  with streets  amy winehouse  etc. who s ever heard of terri walker or rhian benson.. they are both 10 times better than joss stone and both of them have won urban music awards and i think mobos   but why not brits      so what if joss stone won the urban awards. her music is great soul and surely that is under the  urban  banner  what if the streets had won  would people be whining because mike skinner is white... it seems that a lot of the fuss is about race where the real issue should be music and nothing else.  urban is pc version for saying black music. i m not doubting ms stone s talent  but why didn t jamelia or lemar get a brit  this reminds me of what happened to craig david and soul ii soul in the past  getting nominations are easy to get  but picking up a brit seems to be the hardest thing.  refreshing to see people making reasonable  intelligent comments on any topic these days. more power to you  people! you have said it: there is music you like and music you don t like - who cares what label you put on it   that entire category was a mess. how can you have people like dizzee rascal up against joss stone  its like putting eminem against bob geldof. she should have been nominated for best british r & b act. joss stone deserved to win an award for her talents  but i don t think it was very  urban  of her to sing angels with robbie williams.  urban is a nonsense term - music of black origin  well doesn t that include rock  music made in the inner cities  well almost all bands end up making music in london/manchester etc. and doesn t that make some weird implication that all black people live in cities  it doesn t make any sense.  why does music have to be put into a genre  it s music  you like it or you don t. simple as that.  i play in a heavy metal band. we are urban music as far as i m concerned. we live in cities and spend our working life in an urban environment; it therefore directly shapes what we write musically.   urban  seems to be the new name for all styles of black music. why it needed a rebrand i don t know as the name is misleading. oasis originate from a city and characterise the urban life they know  therefore more than fit the term  urban  yet as they re a white rock band they won t be described as such.  joss stone has a fantastic voice and great timing and delivery - what other reason do they need to award her the brit  all this  urban  and other such categorisation is just the red-tape of the music business and is best ignored.  yeah  she deserved it. she is talented. urban is a crap  meaningless  politically correct and probably actually racist marketing term though. there s only two kinds of music: good and bad.,3,entertainment
dirty den s demise seen by 14m more than 14 million people saw  dirty  den watts killed off on friday  marking eastenders  20th anniversary  according to unofficial figures.  den s death came 16 years after he was supposedly shot in 1989. but he came back to the show in september 2003. the audience for bbc one s one-hour special averaged 13.7 million and peaked at 14.2 million in the last 15 minutes  overnight figures showed. den died after being confronted by zoe  chrissie and sam in the queen vic.  if the ratings are confirmed  the episode will have given the soap its highest audience for a year. the overnight figures showed almost 60% of the viewing public tuned into eastenders between 2000 and 2100 gmt  leaving itv1 with about 13%.  we are very pleased with the figures   a bbc spokesman said.  it shows viewers have really enjoyed the story of den s demise.  the show s highest audience came at christmas 1986  when more than 30 million tuned in to see den  played by leslie grantham  hand divorce papers to wife angie.  two years later  24 million saw him apparently shot by a man with a bunch of daffodils by a canal. more than 16 million viewers watched his return in 2003. the show s ratings have since settled down to about 12 million per episode. grantham hit the headlines in may after a newspaper printed photographs of him apparently exposing himself via a webcam from his dressing room. he also allegedly insulted four co-stars. he apologised for his  deplorable actions  and  a moment s stupidity .,3,entertainment
lib dems  new election pr chief the lib dems have appointed a senior figure from bt to be the party s new communications chief for their next general election effort.  sandy walkington will now work with senior figures such as matthew taylor on completing the party manifesto. party chief executive lord rennard said the appointment was a  significant strengthening of the lib dem team . mr walkington said he wanted the party to be ready for any  mischief  rivals or the media tried to throw at it.   my role will be to ensure this new public profile is effectively communicated at all levels   he said.  i also know the party will be put under scrutiny in the media and from the other parties as never before - and we will need to show ourselves ready and prepared to counter the mischief and misrepresentation that all too often comes from the party s opponents.  the party is already demonstrating on every issue that it is the effective opposition.  mr walkington s new job title is director of general election communications.,4,politics
bbc poll indicates economic gloom citizens in a majority of nations surveyed in a bbc world service poll believe the world economy is worsening.  most respondents also said their national economy was getting worse. but when asked about their own family s financial outlook  a majority in 14 countries said they were positive about the future. almost 23 000 people in 22 countries were questioned for the poll  which was mostly conducted before the asian tsunami disaster. the poll found that a majority or plurality of people in 13 countries believed the economy was going downhill  compared with respondents in nine countries who believed it was improving. those surveyed in three countries were split. in percentage terms  an average of 44% of respondents in each country said the world economy was getting worse  compared to 34% who said it was improving. similarly  48% were pessimistic about their national economy  while 41% were optimistic. and 47% saw their family s economic conditions improving  as against 36% who said they were getting worse.  the poll of 22 953 people was conducted by the international polling firm globescan  together with the program on international policy attitudes (pipa) at the university of maryland.  while the world economy has picked up from difficult times just a few years ago  people seem to not have fully absorbed this development  though they are personally experiencing its effects   said pipa director steven kull.  people around the world are saying:  i m ok  but the world isn t .  there may be a perception that war  terrorism and religious and political divisions are making the world a worse place  even though that has not so far been reflected in global economic performance  says the bbc s elizabeth blunt.  the countries where people were most optimistic  both for the world and for their own families  were two fast-growing developing economies  china and india  followed by indonesia. china has seen two decades of blistering economic growth  which has led to wealth creation on a huge scale  says the bbc s louisa lim in beijing. but the results also may reflect the untrammelled confidence of people who are subject to endless government propaganda about their country s rosy economic future  our correspondent says. south korea was the most pessimistic  while respondents in italy and mexico were also quite gloomy. the bbc s david willey in rome says one reason for that result is the changeover from the lira to the euro in 2001  which is widely viewed as the biggest reason why their wages and salaries are worth less than they used to be. the philippines was among the most upbeat countries on prospects for respondents  families  but one of the most pessimistic about the world economy. pipa conducted the poll from 15 november 2004 to 3 january 2005 across 22 countries in face-to-face or telephone interviews. the interviews took place between 15 november 2004 and 5 january 2005. the margin of error is between 2.5 and 4 points  depending on the country. in eight of the countries  the sample was limited to major metropolitan areas.,1,business
